Título del vídeo,Visualizaciones,Porcentaje de clics de las impresiones (%),Med Juego Compartido,Med Horas vistas Juego,Med Impresiones Juego,Med porcentaje clicks Impresiones Juego,Med Visualizaciones Juego,Med Suscriptores Juego,Med Visualizaciones Año,Visualizaciones necesarias para suscribirse al canal,Visualizaciones necesarias para compartir el video
El ejército que nunca se rendía - El último tercio. Homenaje a #31EneroTercios,47210,8.69,5.384615384615385,123.85656153846155,5924.153846153846,3.209230769230769,3685.923076923077,1.7692307692307692,1145.3,1888.4,704.6268656716418
Formación tortuga romana con legionarios - Rome 2 Total War,36195,10.79,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,1145.3,861.7857142857143,332.0642201834862
IMPERIUM III HD BETA - Novedades y Steam [2019],13444,8.49,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,421.21875,395.4117647058824,216.83870967741936
"NOVEDADES IMPERIVM III - Resolución, Steam y otros avances... (2019)",12004,10.11,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,327.9764705882353,285.8095238095238,444.5925925925926
Espartanos vs Mirmidones - Rome 2 Total War,8438,9.73,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,1145.3,767.0909090909091,703.1666666666666
thresh hook predict to annie #shorts #leagueoflegends,8049,2.64,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,4024.5,8049.0
RAID TRIBU ALPHA - Ark ep. 25,7101,4.39,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,244.6590909090909,1014.4285714285714,789.0
Alistar and Vayne awesome combo insect,5477,2.57,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,5477.0,2738.5
Thresh predicts flash slow motion hook - 1.5 kk maestry #shorts,5267,2.57,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,1755.6666666666667
predict thresh hook #shortslol #leagueoflegends,5233,2.07,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,2616.5,0.0
Pelea contra los P.C.B defendiendo a Black Dragon - Ark ep. 7,5108,2.91,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,182.42857142857142,300.47058823529414
thresh insane hook flash predict #shorts #leagueoflegends,5057,1.19,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,0.0
Beta privada Imperivm III - Great Battles of Rome HD v1.50 en Steam [2019],4393,7.63,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,421.21875,732.1666666666666,337.9230769230769
Thresh insane flash prediction #shorts #leagueoflegends,3751,1.41,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,1875.5,3751.0
Naval Action ep. 15 Epic naval battle Remedios,3383,8.42,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,268.4634146341463,93.97222222222223,102.51515151515152
Guerra contra P.C.B con los Black Dragon - Ark ep. 10,3058,5.94,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,611.6,1529.0
Naval Action ep. 13 Santísima Trinidad vs 10,3036,10.35,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,268.4634146341463,303.6,189.75
Final server 108 matando P.C.B con Calum FD - Ark ep. 14,2944,4.63,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,736.0,588.8
IMPERIVM III con MCI MOD - Roma conquista Italia #1,2871,8.81,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,327.9764705882353,261.0,717.75
Thresh perfect hook flash predict 1.5 million points #shorts,2858,4.24,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,2858.0,1429.0
lol alistar support wombo combo #leagueoflegends,2739,2.0,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,0.0
Aniquilando dinos de un comerciante de P.C.B - Ark ep. 8,2409,4.53,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,344.14285714285717,481.8
Naval Action ep. 2 Conquista de Triangles,2389,8.96,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,244.6590909090909,477.8,1194.5
fiddesticks penta insane almost,2328,1.75,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,2328.0,0.0
NOS ATACAN LOS DARK WOLF!!! - Ark ep. 16,1815,10.76,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,181.5,363.0
Para VenomXtreme - AsaBranca lvl 213 killed P.C.B Argentavis - Ark ep. 13,1729,4.48,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,1729.0,1729.0
v1.50 Imperivm HD para Steam [2019],1531,11.04,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,421.21875,80.57894736842105,117.76923076923077
LoL Highlights Today ep. 19 Carry Corleone #shorts #lol,1508,1.22,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,1508.0,0.0
LoL orianna ultimate combo #shorts,1476,4.08,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,0.0
La Conquista de Hispania #1 - IMPERIVM III MCI MOD,1458,5.93,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,327.9764705882353,364.5,729.0
LoL Highlights Today ep. 20 INSANE COMBO #lol #leagueoflegends #shortslol,1448,1.12,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,1448.0,0.0
LoL Alistar best save,1374,3.2,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,458.0
xPeke backdoor remember #leagueoflegends #lol #backdoor,1340,2.5,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,174.2,0.0,1340.0
LoL Kalista Thresh combo #shortslol,1325,3.02,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,0.0
LoL Clash Aram Cup,1319,9.0,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,439.6666666666667,329.75
Bard utility support #leagueoflegends #shortslol,1308,2.77,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,174.2,0.0,1308.0
LoL alistar combo ft. team #shorts,1269,0.55,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,1269.0
testudo formation ancient roman empire,1260,7.02,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,1145.3,0.0,74.11764705882354
Guerra con C.N.B (Aliados P.C.B) - Ark ep. 11,1246,4.52,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,623.0,1246.0
Testudo romano,1191,8.8,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,1145.3,0.0,238.2
2 vs 6 IA - Imperivm 3 Las Grandes Batallas de Roma,1152,6.95,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,327.9764705882353,60.63157894736842,0.0
LoL Aram perfect combo for clash #shorts #leagueoflegends,1128,3.7,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,1128.0,0.0
Sorteo de 2 Claves del Imperivm III v1.50 BETA para Steam,1094,6.81,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,421.21875,47.56521739130435,136.75
¡Feliz día de los Tercios! #31EneroTercios,1008,2.68,1.8,1.76096,2288.6,2.1700000000000004,242.6,0.4,268.4634146341463,504.0,112.0
La Conquista de Hispania #2 - IMPERIVM III MCI MOD,985,5.52,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,327.9764705882353,985.0,0.0
LoL Alistar combo perfect,975,4.9,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,487.5,0.0
Naval Action ep. 4 Tras un americano en Cuba,970,4.06,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,244.6590909090909,0.0,970.0
combo alistar flash q easy,943,3.78,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,943.0,0.0
fiddlesticks lol aram combo #leagueoflegends #shorts,899,3.26,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,128.42857142857142,899.0
Imperivm RTC HD Edition notas del parche v.1.2 2022,880,9.03,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,1299.7551020408164,97.77777777777777,58.666666666666664
Carga de caballería,857,3.97,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,1145.3,0.0,0.0
Naval Action ep. 1 Ataque en Alacranes,837,7.9,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,244.6590909090909,837.0,279.0
thresh quick flash prediction #shorts #lol,734,2.79,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,0.0
Como se hace la cueva - Ark ep. 9,724,2.71,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,362.0,0.0
Ganadores del sorteo de claves - Imperivm III v1.50 HD para Steam,696,8.81,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,421.21875,43.5,87.0
LoL morgana support mad prediction of flash,695,2.84,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,0.0
flash prediction thresh #shorts,674,1.09,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,0.0
[FIN] IMPERIVM III con MCI MOD - Roma conquista Italia #2,659,4.83,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,327.9764705882353,0.0,659.0
LoL clean chain cc #leagueoflegends #shorts,622,1.69,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,174.2,622.0,622.0
Disfrutando de las vistas - Ark ep. 5,621,5.45,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,0.0,0.0
PVP TODOS CONTRA FINAL DESTROYER - Ark ep. 26,612,4.37,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,244.6590909090909,612.0,306.0
Naval Action ep. 14 A por el L'Ocean,606,6.72,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,268.4634146341463,606.0,0.0
Killing dinos de comerciante de P.C.B - Ark ep.12,600,5.96,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,0.0,0.0
Naval Action ep. 16 Batalla de La Anguila,597,5.85,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,268.4634146341463,199.0,149.25
CoD MW2 Shots by Imperius,565,3.61,3.142857142857143,2.9787,1025.2857142857142,2.447142857142857,313.57142857142856,4.285714285714286,1299.7551020408164,565.0,0.0
Naval Action ep. 12 Seafight on Mimbres,541,2.25,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,421.21875,541.0,135.25
THRESH MONTAGE - SirAlatriste 600k Maestry,528,3.32,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,12.571428571428571,52.8
LoL Highlights Today ep. 16 - Ortiz y Corle,527,2.17,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,263.5
Taming Giganotosaurus - Ark Survival Evolved #17,500,3.54,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,0.0,0.0
Coalición Hispánica #1 | COOPERATIVO CON MANUTEZ2009,495,12.15,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,244.6590909090909,247.5,495.0
Naval Action ep. 10 Clan FLEKI PVE,491,3.72,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,421.21875,163.66666666666666,245.5
MONTAGE PLAYS LOL #1 || A group of bronze noobs,489,4.04,0.8141025641025641,3.6374423076923077,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,244.6590909090909,489.0,40.75
"Campaña de las Cruzadas 4 - Formación de un gran ejército, jaque a la capital egipcia de El Cairo",482,5.01,0.36363636363636365,5.180945454545455,940.1818181818181,2.268181818181818,149.0,0.09090909090909091,1145.3,0.0,0.0
Naval Action ep. 3 Mareando con la Surprise,474,3.01,4.181818181818182,97.90134545454545,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,244.6590909090909,474.0,0.0
Base P.C.B y más - Ark ep.18,469,11.18,1.9787234042553192,55.4977,999.3404255319149,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,0.0,469.0
CoD MW2 Headshots by ZrMbaka,465,1.63,3.142857142857143,2.9787,1025.2857142857142,2.447142857142857,313.57142857142856,4.285714285714286,1299.7551020408164,0.0,0.0
